Problem,Dim,BrentSTEPqi_Posik,BrentSTEPrr_Posik,CMA-CSA_Atamna,HCMA_loshchilov_noiseless,HMLSL_pal_noiseless,IPOP400D_auger_noiseless,MCS_huyer_noiseless,M_LSL_pal_noiseless,OQNLP_pal_noiseless,SMAC-BBOB_hutter_noiseless,fmincon_pal_noiseless,fminunc_pal_noiseless
f15,5,36690.3,36690.3,1.1608233631177747,1.0,4.663757635418244,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f15,10,36690.3,36690.3,1.1218733293942207,1.0,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f16,2,34.50663349917082,50.01658374792704,4.211442786069652,1.7271973466003319,11.121890547263682,1.0,5.794361525704809,17.123548922056386,18.268380320619126,36690.3,24.341832504145938,34.414593698175786
f16,3,57.80071467839472,36690.3,1.8814733369983505,2.0960417811984606,25.50560747663551,1.0,19.24539582188015,98.78807036833425,36690.3,36690.3,111.06267179769104,101.37410665200659
f16,5,36690.3,36690.3,1.0,2.379239735377507,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f16,10,36690.3,36690.3,1.9283851646036643,1.0,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f17,2,23.833025830258304,27.443331576172906,1.441222983658408,2.07380073800738,8.139167105956775,1.0,3.9499209277807066,245.9910384818134,7.669478123352663,36690.3,243.26568265682658,43.74275171323142
f17,3,46.81047197640118,40.15363815142576,1.755653883972468,3.430678466076696,11.355457227138642,1.0,18.926745329400195,36690.3,48.10963618485742,36690.3,36690.3,36690.3
f17,5,36690.3,36690.3,3.66989563821247,2.232164838105432,14.628204442065828,1.0,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f17,10,36690.3,36690.3,3.314386896857016,5.573675667699573,18.69818503762727,1.0,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f18,2,36690.3,36690.3,1.0,3.260463507436873,17.696644759598755,2.893462469733656,19.491179522656516,36690.3,36690.3,36690.3,36690.3,36690.3
f18,3,36690.3,36690.3,1.0,1.9885469849592932,7.883262039464605,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f18,5,36690.3,36690.3,1.1539660884817775,1.0,9.292474663808225,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f18,10,36690.3,36690.3,1.0923622047244095,1.0,52.96488188976378,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f19,2,242.43125,93.55,64.20625,118.1125,1.0,70.5625,6.75,1.0,38.6484375,12.625,1.0,64.85625
f19,3,5.679252024773702,19.867079561696045,1.6754645069080516,3.4461648404001908,8.397093854216294,1.0,1.6113387327298714,13.054549785612195,1.1121486422105764,36690.3,9.271438780371605,6.424547403525488
f19,5,36690.3,36690.3,8.270971132853562,14.862505053772136,11.809695156464786,36690.3,36690.3,36690.3,1.0,36690.3,36690.3,36690.3
f19,10,36690.3,36690.3,1.0,1.512590895630429,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f20,2,16.11551064991808,9.89787001638449,3.959038776624795,18.32768978700164,2.7028945931185144,36690.3,1.0,1.3937738940469688,3.985253959584927,36690.3,3.804478427089023,2.925177498634626
f20,3,18.792239756768495,11.813088171420299,2.7128999565658027,3.0466483277834078,1.0,36690.3,3.500796293615173,3.213261908209063,1.3764297089908788,36690.3,3.699638048356739,3.532676994353554
f20,5,36690.3,36690.3,3.216917354035258,6.8077147016011645,1.0,36690.3,2.270176289826945,36690.3,1.2184214782468057,36690.3,36690.3,36690.3
f20,10,36690.3,36690.3,2.0703121433028446,4.444940417307136,1.0,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f21,2,24.437217194570135,37.83182503770739,22.837104072398187,10.09049773755656,1.4570135746606334,4.522058823529411,27.398190045248867,1.0339366515837105,1.6266968325791855,1.0,1.8778280542986425,1.5271493212669682
f21,3,136.08482142857144,170.38660714285714,3.433392857142857,2.184107142857143,1.6842857142857142,2.7741071428571433,5.022321428571429,1.2589285714285714,1.3212053571428573,1.0,1.7860714285714285,1.5948214285714286
f21,5,16.46458648240121,10.88479809976247,14.193478730295832,24.39602677607428,1.0,5.903692507017922,6.868278989419132,2.7797451954221546,1.0435111207082703,1.9671777153962426,1.150075577629022,2.5430792485424316
f21,10,36690.3,73.83707389371162,17.214517608864423,106.07209400804572,2.187380901969087,2.6873809019690875,14.573364387042133,1.0,1.2249629472792716,36690.3,2.367562989625238,2.8841837814948126
f22,2,313.02547770700636,414.2547770700637,36.250955414012736,7.039490445859873,1.535031847133758,6.117834394904459,8.363057324840764,1.570700636942675,1.8242038216560508,1.0,1.1847133757961783,1.5044585987261145
f22,3,173.71832005792905,230.81100651701666,247.94593289886558,77.35916002896451,1.671976828385228,36690.3,1.5858073859522086,3.057204923968139,1.2049239681390298,1.835626357711803,1.0,1.3403330919623462
f22,5,180.61981184283343,172.12091864969562,285.6004427227449,5.1502490315439955,1.7670171555063643,10.035971223021583,15.103486441615939,1.267017155506364,1.090550636413946,1.7722744881018264,1.0,1.1840066408411731
f22,10,36690.3,36690.3,36690.3,5.705092805645038,1.477124558981439,36690.3,9.018637827887714,1.0,2.557044792146035,36690.3,2.8275042184384107,1.2661451142813316
f23,2,62.12178877259753,36690.3,6.089914367269267,5.6560418648905815,1.6065651760228354,5.435299714557565,14.572312083729782,1.0,4.843601332064701,36690.3,1.7982873453853474,62.716460513796385
f23,3,36690.3,36690.3,2.5636951833213515,2.4048885693745508,1.0,1.8846153846153846,11.57557512580877,1.103450754852624,4.7609633357296905,36690.3,1.0285406182602446,36690.3
f23,5,36690.3,36690.3,6.435018351685018,1.0,5.0528914330997665,36690.3,36690.3,36690.3,36690.3,36690.3,11.55295920920921,36690.3
f23,10,36690.3,36690.3,29.384524187093167,1.0,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f24,2,8.327444956477214,36690.3,36690.3,183.6241679467486,12.050691244239632,36690.3,5.6074415429254145,5.549027137736815,1.0,36690.3,11.9810547875064,3.8863287250384024
f24,3,36690.3,36690.3,36690.3,249.05133928571428,6.232607886904762,36690.3,36690.3,36690.3,1.0,36690.3,36690.3,36690.3
f24,5,36690.3,36690.3,36690.3,1.0,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
f24,10,36690.3,36690.3,36690.3,1.0,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3,36690.3
